bin_low,bin_high,count,mean_conf,accuracy
0.0000,0.0667,0,0.0000,0.0000
0.0667,0.1333,6,0.1247,0.0000
0.1333,0.2000,1132,0.1847,0.1811
0.2000,0.2667,12526,0.2425,0.2245
0.2667,0.3333,44115,0.3052,0.2702
0.3333,0.4000,92172,0.3698,0.3202
0.4000,0.4667,149850,0.4359,0.3708
0.4667,0.5333,296419,0.5038,0.4460
0.5333,0.6000,351660,0.5666,0.4949
0.6000,0.6667,361646,0.6337,0.5439
0.6667,0.7333,393818,0.7006,0.5953
0.7333,0.8000,456192,0.7677,0.6519
0.8000,0.8667,590271,0.8354,0.7150
0.8667,0.9333,962497,0.9047,0.7933
0.9333,1.0000,16777216,1.0000,1.0000
