class_id,class_name,pixel_count,fraction,inverse_freq,median_freq_weight
0,road,1694573608,0.371514,2.6917,0.0233
1,sidewalk,270042370,0.059203,16.8909,0.1463
2,building,1058952723,0.232162,4.3073,0.0373
3,wall,26291055,0.005764,173.4910,1.5025
4,fence,39502870,0.008661,115.4666,1.0000
5,pole,59222676,0.012984,77.0189,0.6670
6,traffic_light,9817153,0.002152,464.6217,4.0239
7,traffic_sign,26280580,0.005762,173.5602,1.5031
8,vegetation,686978377,0.150611,6.6396,0.0575
9,terrain,51503049,0.011291,88.5630,0.7670
10,sky,184072031,0.040355,24.7798,0.2146
11,person,58349751,0.012792,78.1711,0.6770
12,rider,5852291,0.001283,779.3978,6.7500
13,car,331372289,0.072649,13.7648,0.1192
14,truck,13272779,0.002910,343.6554,2.9762
15,bus,11309976,0.002480,403.2955,3.4927
16,train,9651699,0.002116,472.5865,4.0928
17,motorcycle,4065930,0.000891,1121.8252,9.7156
18,bicycle,20151503,0.004418,226.3485,1.9603
