,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,335682730,4012448,175937,64661,84886,48719,126,64199,114101,386954,0,173575,1854,946772,10643,8089,16053,1171,49999
sidewalk,7789377,54620631,886515,444646,277617,146031,0,5366,446411,779231,0,198961,741,361260,2925,1724,2051,4476,80460
building,134001,672235,191201766,889322,973000,452426,15110,160458,4381705,24802,1020461,531568,9566,697542,313367,88192,41332,1970,74574
wall,49186,313196,2721494,4280433,1344431,53709,0,2439,909629,91848,461,33176,119,89813,8762,86,196,0,9465
fence,12862,88332,1407334,571150,5341255,82638,33,20731,1137922,74041,138,59547,1296,80925,1838,5781,3567,0,61906
pole,59041,244987,3049134,65457,234147,3095239,17842,58099,1240272,39624,133571,118863,133,137151,4287,5615,6126,61,57181
traffic_light,9,0,948839,572,1321,89467,381360,35782,170921,0,19893,6049,273,1709,1228,2363,149,0,0
traffic_sign,10980,6915,1579198,1788,21917,56199,6071,2103062,302669,1288,13759,26014,1176,27475,2263,2607,2950,0,1282
vegetation,65780,378573,6460066,457880,1335150,718366,46020,128073,181468440,570659,672691,130403,6635,283975,13162,20616,1060,35,48027
terrain,238511,702688,105458,65981,152750,43425,0,2575,2400160,8625854,365,17095,544,76783,0,1924,0,0,12374
sky,138,176,888277,0,1038,83732,3797,3760,848507,0,36075834,668,0,876,155,657,0,0,0
person,133873,199800,1159099,41935,153263,72529,668,23302,239929,11239,854,6390085,52756,410816,30575,5569,748,516,49117
rider,24508,7541,110911,2011,19582,7301,0,15979,49512,902,0,767964,287229,190193,4882,333,107,17190,104726
car,497395,114930,834974,39372,408869,44964,485,18566,447723,20009,876,189296,11593,51978349,273513,30724,6144,1776,36439
truck,13534,740,247414,0,21105,5548,135,23305,39794,6,5461,3271,94,406594,589891,136571,4262,0,1824
bus,25424,7783,124132,5310,30185,1179,247,3172,33669,89,1015,8072,0,230251,179768,868059,161959,0,0
train,16327,76157,1517307,161248,252689,16259,188,4240,33448,18,11924,10604,0,356748,262046,81859,411090,0,104
motorcycle,20346,11415,61017,114,14078,4416,0,232,52678,3163,0,198551,144581,474031,9371,58,0,134092,255079
bicycle,62734,101204,247219,3013,175018,35260,0,2680,83374,9406,0,417613,38213,135045,0,98,84,15775,1382994
