class,iou
motorcycle,0.09402099996805191
train,0.11884497851133347
rider,0.15274523198604584
traffic_light,0.21783821284770966
truck,0.22529248893260956
pole,0.29397279024124146
wall,0.3364352583885193
fence,0.3695771396160126
bicycle,0.38932496309280396
bus,0.4187089502811432
traffic_sign,0.44363051652908325
person,0.5384314656257629
terrain,0.5965417623519897
sidewalk,0.748355507850647
building,0.852788507938385
car,0.8682745099067688
vegetation,0.882036566734314
sky,0.9066765308380127
road,0.9563692808151245
